[INFO] 2026-05-23 08:13:03 | Database | Great Britain: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:13:03 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:13:03 | FeatureEngineering | Feature engineering başladı: Great Britain
[INFO] 2026-05-23 08:13:03 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:13:03 | F1System | Great Britain: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:13:03 | EDA | EDA başlıyor: Great Britain
[INFO] 2026-05-23 08:13:04 | EDA | EDA tamamlandı: Great Britain
[INFO] 2026-05-23 08:13:04 | Analysis | Analizler başlıyor: Great Britain
[INFO] 2026-05-23 08:13:04 | Analysis | Tüm analizler tamamlandı: Great Britain
[INFO] 2026-05-23 08:13:04 | Models | ML pipeline başlıyor: Great Britain
[SUCCESS] 2026-05-23 08:13:04 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:13:04 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:04 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:13:04 | F1System | ML pipeline tamamlandı: Great Britain
[INFO] 2026-05-23 08:13:04 | Main | Decision Tree model trained.
[INFO] 2026-05-23 08:13:04 | Visualization | Grafik üretimi başlıyor: Great Britain
[ERROR] 2026-05-23 08:13:05 | Visualization | Grafik üretim hatası: 'mean'
[INFO] 2026-05-23 08:13:05 | Visualization | Üretilen grafik sayısı: 3
[INFO] 2026-05-23 08:13:05 | ReportGenerator | Rapor üretiliyor: Great Britain
[WARNING] 2026-05-23 08:13:05 | Main | Rapor hatası (Great Britain): Invalid format specifier '.4f if rate else 'N/A'' for object of type 'float'
[SUCCESS] 2026-05-23 08:13:05 | F1System | Dashboard data is ready: Great Britain (1.4s)
[INFO] 2026-05-23 08:13:05 | DataLoader | ==================================================
[INFO] 2026-05-23 08:13:05 | DataLoader | Yarış yükleniyor: Belgium 2025
