model,param,train_acc,val_acc,gap
DT,max_depth=1,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=2,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=3,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=4,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=5,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=6,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=7,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=8,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=9,1.0,0.8968253968253969,0.10317460317460314
DT,max_depth=10,1.0,0.8968253968253969,0.10317460317460314
kNN,n_neighbors=1,1.0,0.6507936507936507,0.3492063492063493
kNN,n_neighbors=2,0.923076923076923,0.753968253968254,0.16910866910866906
kNN,n_neighbors=3,0.8498168498168498,0.6984126984126985,0.1514041514041513
kNN,n_neighbors=4,0.8992673992673993,0.8015873015873015,0.09768009768009778
kNN,n_neighbors=5,0.8516483516483516,0.6984126984126983,0.15323565323565336
kNN,n_neighbors=6,0.9010989010989011,0.8571428571428571,0.04395604395604402
kNN,n_neighbors=7,0.8772893772893773,0.6984126984126983,0.17887667887667902
kNN,n_neighbors=8,0.8516483516483516,0.9047619047619048,-0.05311355311355315
kNN,n_neighbors=9,0.8003663003663003,0.8015873015873015,-0.0012210012210012167
kNN,n_neighbors=10,0.8754578754578755,0.8095238095238096,0.06593406593406581
kNN,n_neighbors=11,0.7765567765567766,0.7063492063492064,0.07020757020757018
kNN,n_neighbors=12,0.6483516483516484,0.7063492063492064,-0.057997557997558014
