Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,TrackTemp,Humidity,RaceName
0 days 01:30:26.347000,NOR,4,71.274,15.0,1.0,,,17.978,31.803,21.493,0 days 01:29:33.085000,0 days 01:30:04.888000,0 days 01:30:26.381000,300.0,225.0,271.0,297.0,False,MEDIUM,15.0,True,McLaren,0 days 01:29:15.073000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:31:37.284000,NOR,4,70.937,16.0,1.0,,,17.828,31.704,21.405,0 days 01:30:44.209000,0 days 01:31:15.913000,0 days 01:31:37.318000,290.0,229.0,272.0,288.0,False,MEDIUM,16.0,True,McLaren,0 days 01:30:26.347000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:32:48.125000,NOR,4,70.841,17.0,1.0,,,17.763,31.55,21.528,0 days 01:31:55.081000,0 days 01:32:26.631000,0 days 01:32:48.159000,293.0,226.0,268.0,285.0,False,MEDIUM,17.0,True,McLaren,0 days 01:31:37.284000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:33:58.914000,NOR,4,70.789,18.0,1.0,,,17.828,31.53,21.431,0 days 01:33:05.987000,0 days 01:33:37.517000,0 days 01:33:58.948000,297.0,227.0,274.0,290.0,False,MEDIUM,18.0,True,McLaren,0 days 01:32:48.125000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:35:09.957000,NOR,4,71.043,19.0,1.0,,,17.754,31.77,21.519,0 days 01:34:16.702000,0 days 01:34:48.472000,0 days 01:35:09.991000,291.0,226.0,272.0,289.0,False,MEDIUM,19.0,True,McLaren,0 days 01:33:58.914000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:36:23.939000,NOR,4,73.982,20.0,1.0,,0 days 01:36:20.748000,17.709,31.431,24.842,0 days 01:35:27.700000,0 days 01:35:59.131000,0 days 01:36:23.973000,301.0,229.0,,297.0,False,MEDIUM,20.0,True,McLaren,0 days 01:35:09.957000,,1,2.0,,,False,False,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:37:51.754000,NOR,4,87.815,21.0,2.0,0 days 01:36:42.709000,,35.278,31.151,21.386,0 days 01:36:59.251000,0 days 01:37:30.402000,0 days 01:37:51.788000,295.0,229.0,271.0,290.0,False,HARD,1.0,True,McLaren,0 days 01:36:23.939000,,1,4.0,,,False,False,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:39:01.675000,NOR,4,69.921,22.0,2.0,,,17.591,31.04,21.29,0 days 01:38:09.379000,0 days 01:38:40.419000,0 days 01:39:01.709000,290.0,229.0,273.0,288.0,False,HARD,2.0,True,McLaren,0 days 01:37:51.754000,,1,4.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:40:11.687000,NOR,4,70.012,23.0,2.0,,,17.642,31.018,21.352,0 days 01:39:19.351000,0 days 01:39:50.369000,0 days 01:40:11.721000,293.0,231.0,272.0,288.0,False,HARD,3.0,True,McLaren,0 days 01:39:01.675000,,1,4.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:41:21.516000,NOR,4,69.829,24.0,2.0,,,17.664,30.918,21.247,0 days 01:40:29.385000,0 days 01:41:00.303000,0 days 01:41:21.550000,293.0,230.0,273.0,289.0,False,HARD,4.0,True,McLaren,0 days 01:40:11.687000,,1,4.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:42:31.161000,NOR,4,69.645,25.0,2.0,,,17.584,30.91,21.151,0 days 01:41:39.134000,0 days 01:42:10.044000,0 days 01:42:31.195000,296.0,231.0,272.0,294.0,False,HARD,5.0,True,McLaren,0 days 01:41:21.516000,,1,3.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:43:40.781000,NOR,4,69.62,26.0,2.0,,,17.552,30.894,21.174,0 days 01:42:48.747000,0 days 01:43:19.641000,0 days 01:43:40.815000,295.0,230.0,274.0,294.0,False,HARD,6.0,True,McLaren,0 days 01:42:31.161000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:44:50.303000,NOR,4,69.522,27.0,2.0,,,17.483,30.88,21.159,0 days 01:43:58.298000,0 days 01:44:29.178000,0 days 01:44:50.337000,296.0,232.0,272.0,294.0,False,HARD,7.0,True,McLaren,0 days 01:43:40.781000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:45:59.831000,NOR,4,69.528,28.0,2.0,,,17.507,30.974,21.047,0 days 01:45:07.844000,0 days 01:45:38.818000,0 days 01:45:59.865000,297.0,232.0,274.0,294.0,False,HARD,8.0,True,McLaren,0 days 01:44:50.303000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:47:09.325000,NOR,4,69.494,29.0,2.0,,,17.542,30.871,21.081,0 days 01:46:17.407000,0 days 01:46:48.278000,0 days 01:47:09.359000,297.0,231.0,274.0,294.0,False,HARD,9.0,True,McLaren,0 days 01:45:59.831000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:48:18.966000,NOR,4,69.641,30.0,2.0,,,17.548000000000002,30.936,21.157,0 days 01:47:26.907000,0 days 01:47:57.843000,0 days 01:48:19,297.0,231.0,274.0,294.0,False,HARD,10.0,True,McLaren,0 days 01:47:09.325000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:49:28.512000,NOR,4,69.546,31.0,2.0,,,17.463,31.037,21.046,0 days 01:48:36.463000,0 days 01:49:07.500000,0 days 01:49:28.546000,298.0,232.0,274.0,294.0,False,HARD,11.0,True,McLaren,0 days 01:48:18.966000,,12,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:50:38.058000,NOR,4,69.546,32.0,2.0,,,17.531,30.962,21.053,0 days 01:49:46.077000,0 days 01:50:17.039000,0 days 01:50:38.092000,298.0,230.0,273.0,291.0,False,HARD,12.0,True,McLaren,0 days 01:49:28.512000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:51:47.660000,NOR,4,69.602,33.0,2.0,,,17.616,30.963,21.023,0 days 01:50:55.708000,0 days 01:51:26.671000,0 days 01:51:47.694000,298.0,230.0,275.0,294.0,False,HARD,13.0,True,McLaren,0 days 01:50:38.058000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:52:57.221000,NOR,4,69.561,34.0,2.0,,,17.596,30.969,20.996,0 days 01:52:05.290000,0 days 01:52:36.259000,0 days 01:52:57.255000,299.0,232.0,274.0,293.0,False,HARD,14.0,True,McLaren,0 days 01:51:47.660000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:54:06.598000,NOR,4,69.377,35.0,2.0,,,17.509,30.853,21.015,0 days 01:53:14.764000,0 days 01:53:45.617000,0 days 01:54:06.632000,299.0,231.0,273.0,296.0,False,HARD,15.0,True,McLaren,0 days 01:52:57.221000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:55:15.907000,NOR,4,69.309,36.0,2.0,,,17.544,30.863,20.902,0 days 01:54:24.176000,0 days 01:54:55.039000,0 days 01:55:15.941000,298.0,232.0,274.0,296.0,True,HARD,16.0,True,McLaren,0 days 01:54:06.598000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:56:25.686000,NOR,4,69.779,37.0,2.0,,,17.527,31.014,21.238,0 days 01:55:33.468000,0 days 01:56:04.482000,0 days 01:56:25.720000,299.0,232.0,274.0,298.0,False,HARD,17.0,True,McLaren,0 days 01:55:15.907000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:57:35.409000,NOR,4,69.723,38.0,2.0,,,17.485,31.04,21.198,0 days 01:56:43.205000,0 days 01:57:14.245000,0 days 01:57:35.443000,294.0,229.0,275.0,295.0,False,HARD,18.0,True,McLaren,0 days 01:56:25.686000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:58:45.364000,NOR,4,69.955,39.0,2.0,,,17.57,31.061,21.324,0 days 01:57:53.013000,0 days 01:58:24.074000,0 days 01:58:45.398000,300.0,233.0,275.0,298.0,False,HARD,19.0,True,McLaren,0 days 01:57:35.409000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 01:59:56.046000,NOR,4,70.682,40.0,2.0,,,17.507,31.186,21.989,0 days 01:59:02.905000,0 days 01:59:34.091000,0 days 01:59:56.080000,304.0,227.0,279.0,301.0,False,HARD,20.0,True,McLaren,0 days 01:58:45.364000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:01:05.945000,NOR,4,69.899,41.0,2.0,,,17.404,31.223,21.272,0 days 02:00:13.484000,0 days 02:00:44.707000,0 days 02:01:05.979000,301.0,229.0,274.0,296.0,False,HARD,21.0,True,McLaren,0 days 01:59:56.046000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:02:15.753000,NOR,4,69.808,42.0,2.0,,,17.655,31.137,21.016,0 days 02:01:23.634000,0 days 02:01:54.771000,0 days 02:02:15.787000,299.0,231.0,275.0,295.0,False,HARD,22.0,True,McLaren,0 days 02:01:05.945000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:03:25.391000,NOR,4,69.638,43.0,2.0,,,17.549,31.041,21.048,0 days 02:02:33.336000,0 days 02:03:04.377000,0 days 02:03:25.425000,298.0,231.0,273.0,297.0,False,HARD,23.0,True,McLaren,0 days 02:02:15.753000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:04:35.032000,NOR,4,69.641,44.0,2.0,,,17.509,31.023,21.109,0 days 02:03:42.934000,0 days 02:04:13.957000,0 days 02:04:35.066000,300.0,233.0,275.0,296.0,False,HARD,24.0,True,McLaren,0 days 02:03:25.391000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:05:45.076000,NOR,4,70.044,45.0,2.0,,,17.594,31.277,21.173,0 days 02:04:52.660000,0 days 02:05:23.937000,0 days 02:05:45.110000,295.0,228.0,274.0,290.0,False,HARD,25.0,True,McLaren,0 days 02:04:35.032000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:06:54.753000,NOR,4,69.677,46.0,2.0,,,17.486,31.112,21.079,0 days 02:06:02.596000,0 days 02:06:33.708000,0 days 02:06:54.787000,300.0,231.0,274.0,296.0,False,HARD,26.0,True,McLaren,0 days 02:05:45.076000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:08:04.723000,NOR,4,69.97,47.0,2.0,,,17.555,31.207,21.208,0 days 02:07:12.342000,0 days 02:07:43.549000,0 days 02:08:04.757000,300.0,231.0,274.0,298.0,False,HARD,27.0,True,McLaren,0 days 02:06:54.753000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:09:14.796000,NOR,4,70.073,48.0,2.0,,,17.556,31.125,21.392,0 days 02:08:22.313000,0 days 02:08:53.438000,0 days 02:09:14.830000,301.0,234.0,273.0,298.0,False,HARD,28.0,True,McLaren,0 days 02:08:04.723000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:10:24.868000,NOR,4,70.072,49.0,2.0,,,17.54,31.212,21.32,0 days 02:09:32.370000,0 days 02:10:03.582000,0 days 02:10:24.902000,301.0,232.0,275.0,297.0,False,HARD,29.0,True,McLaren,0 days 02:09:14.796000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:11:35.089000,NOR,4,70.221,50.0,2.0,,,17.596,31.329,21.296,0 days 02:10:42.498000,0 days 02:11:13.827000,0 days 02:11:35.123000,300.0,228.0,275.0,298.0,False,HARD,30.0,True,McLaren,0 days 02:10:24.868000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:12:45.381000,NOR,4,70.292,51.0,2.0,,,17.595,31.337,21.36,0 days 02:11:52.718000,0 days 02:12:24.055000,0 days 02:12:45.415000,301.0,230.0,275.0,299.0,False,HARD,31.0,True,McLaren,0 days 02:11:35.089000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:13:59.333000,NOR,4,73.952,52.0,2.0,,0 days 02:13:56.072000,17.582,31.453,24.917,0 days 02:13:02.997000,0 days 02:13:34.450000,0 days 02:13:59.367000,298.0,226.0,,299.0,False,HARD,32.0,True,McLaren,0 days 02:12:45.381000,,1,2.0,,,False,False,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:15:25.458000,NOR,4,86.125,53.0,3.0,0 days 02:14:17.430000,,34.475,30.674,20.976,0 days 02:14:33.842000,0 days 02:15:04.516000,0 days 02:15:25.492000,299.0,234.0,276.0,295.0,False,MEDIUM,1.0,True,McLaren,0 days 02:13:59.333000,,1,2.0,,,False,False,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
0 days 02:16:34.447000,NOR,4,68.989,54.0,3.0,,,17.379,30.638,20.972,0 days 02:15:42.871000,0 days 02:16:13.509000,0 days 02:16:34.481000,296.0,234.0,281.0,299.0,True,MEDIUM,2.0,True,McLaren,0 days 02:15:25.458000,,1,1.0,,,False,True,30.347826086956523,49.166459627329196,31.981366459627328,Great Britain
